Publication,Corallivore_Weffect,Corallivore_phylum,Effect,Disease_specific,Disease_general,Notes,Coral,Region,,,
Sussman et al. 2003,Hermodice carunculata,Annelida,Positively related; Reservoir/vector,Bleaching,Bleaching,,Oculina patagonica,"Mediterranean Sea, 50 km north of Tel Aviv",,,
Williams and Miller 2005,Coralliophila abbreviata,Mollusca,Positively related,White pox/Acroporid serratiosis (APS)--probably,White,,Acropora cervicornis and Acropora palmata,"Key Largo, Florida",,,
Dalton and Godwin 2006,Phestilla sp.,Mollusca,Positively related,Australian subtropical white syndrome (noted in Dalton et al. 2010),White,,Turbinaria mensenterina,Australia,,,
Aeby and Santavy 2006,Chaetodon capistratus ,Chordata,Positively related,Black-band disease,BBD,,Montastraea faveolata,Florida Keys,,,
Gignoux-Wolfsohn et al. 2012,Coralliophila abbreviata,Mollusca,Positively related,White band disease,White,Coralliophila caribaea did not cause disease,Acropora cervicornis,"Cayo Corales, Bocas Del Toro, Panama",,,
Antonius 1977,Hermodice carunculata,Annelida,Positively related,Shut down reaction,White,,"Acropora palmata, Acropora cervicornis, Montastrea annularis, Siderastrea siderea, Dichocoenia stokesi, Solenastrea hyades",Florida Keys,,,
Aeby 1992,Chaetodon multicinctus,Chordata,Negatively related; Direct lesion feeding,Trematodiasis,Trematodiasis,"Maybe make a separate figure for organisms observed to have a preference for disease fronts? Also didn't include Chaetodon trifasciatus, C. auriga, and C. lunula because they weren't observed to feed on the front (were just in the area of caging/likely to have consumed trematodes)",Porites compressa,"Kaneohe Bay, Oahu, Hawai'i",,,
Aeby 1998,Chaetodon multicinctus,Chordata,Direct lesion feeding; Reservoir/vector,Trematodiasis,Trematodiasis,Didn't include that it increased disease because only found the trematodes inside (reservoir),Porites compressa,"Kaneohe Bay, Oahu, Hawai'i",,,
Aeby 2002,Chaetodon multicinctus,Chordata,Reservoir/vector,Trematodiasis,Trematodiasis,Reservoir,Porites compressa,"Kaneohe Bay, Oahu, Hawai'i",,,
Vargas-Ángel et al. 2003,Hermodice carunculata,Annelida,Positively related,"White band disease, type I",White,Positive correation with WBD,Acropora cervicornis,"Fort Lauderdale, Florida",,,
Sutherland et al. 2011,Coralliophila abbreviata,Mollusca,Positively related; Reservoir/vector,White pox/Acroporid serratiosis (APS),White,Reservoir,Acropora palmata,"Summerland Key, Florida",,,
Rypien and Baker 2009,Cyphoma gibbosum,Mollusca,Reservoir/vector,Aspergillosis,Aspergillosis,Reservoir/vetor,Octocorals generally,"North Norman's Reef, Bahamas and Key Largo, Florida",,,
Nicolet et al. 2013,Drupella spp.,Mollusca,Positively related,Brown band disease,BrB,,,,,,
Nicolet et al. 2013,Pomacentrus moluccensis,Chordata,Direct lesion feeding,Brown band disease,BrB,,,,,,
Nicolet et al. 2013,Halichoeres melanurus,Chordata,Direct lesion feeding,Brown band disease,BrB,,,,,,
Nicolet et al. 2013,Ecsenius sp,Chordata,Direct lesion feeding,Brown band disease,BrB,,,,,,
Nicolet et al. 2013,Chromis nitida,Chordata,Direct lesion feeding,Brown band disease,BrB,,,,,,
Nicolet et al. 2013,Bryaninops erythrops,Chordata,Direct lesion feeding,Brown band disease,BrB,,,,,,
Nicolet et al. 2013,Chaetodon aureofasciatus,Chordata,Direct lesion feeding,Brown band disease,BrB,"Fed on diseased bands, but not necessarily preferentially? Said: ""were observed to feed directly on disease bands""",Acropora muricata,"Orpheus Island, GBR",,,
Clemens and Brandt 2015,Coralliophila abbreviata,Mollusca,NA,White plague,White,H. carunculata not shown to have an effect; C. abbreviata had no more effect than just seawater so not included here,Orbicella annularis,"St. Thomas, USVI",,,
Pratte and Richardson 2016,Cryptochiridae,Arthropoda,Positively related,White plague-like disease,White,,Diploria labyrinthiformis and Pseudodiploria strigosa (used in experiment),Florida Keys,,,
Nicolet et al. 2018 (Sci Rep),Drupella spp.,Mollusca,Positively related,Brown band disease,BrB,don't include Chaetodon plebeius because unclear if it targeted the margin specifically--also in experiments the fish had NO EFFECT/did NOT act as a vector (even if they feed on the band),Acropora muricata,"Lizard Island, Australia",,,
Nicolet et al. 2018 (MEPS),Chaetodon plebius,Chordata,Direct lesion feeding,Black-band disease,BBD,,,,,,
Nicolet et al. 2018 (MEPS),Chaetodon lunulatus,Chordata,Direct lesion feeding,Black-band disease,BBD,,,,,,
Nicolet et al. 2018 (MEPS),Chaetodon rainfordi,Chordata,Direct lesion feeding,Black-band disease,BBD,,,,,,
Nicolet et al. 2018 (MEPS),Chaetodon aureofasciatus,Chordata,Direct lesion feeding,Black-band disease,BBD,,,,,,
Nicolet et al. 2018 (MEPS),Chaetodon baronessa,Chordata,Direct lesion feeding,Black-band disease,BBD,,,,,,
Nicolet et al. 2018 (MEPS),Chaetodon trifascialis,Chordata,Direct lesion feeding,Black-band disease,BBD,,,,,,
Nicolet et al. 2018 (MEPS),Labrichthys unilineatus,Chordata,Direct lesion feeding,Black-band disease,BBD,,,,,,
Nicolet et al. 2018 (MEPS),Oxymonacanthus longirostris,Chordata,Direct lesion feeding,Black-band disease,BBD,,,,,,
Nicolet et al. 2018 (MEPS),Pomacentrus amboinensis,Chordata,Direct lesion feeding,Black-band disease,BBD,,,,,,
Nicolet et al. 2018 (MEPS),Pomacentrus grammorhynchus,Chordata,Direct lesion feeding,Black-band disease,BBD,,Acropora muricata,"Lizard Island, Australia",,,
Sutherland et al. 2010 (Env Microbio),Coralliophila abbreviata,Mollusca,Reservoir/vector,White pox/Acroporid serratiosis (APS),White,Did not find Serratia marcenscens in parrotfish or fireworms--just C. abbreviata,Acropora palmata,Florida Keys,,,
Page and Willis 2008,NA,NA,NA,NA,NA,,"Acropora muricata, Pocillopora damicornis, and Porites cylindrica","Great Barrier Reef, 18 sites",,,
Nugues and Bak 2009,Acanthaster planci,Echinodermata,Positively related,Brown band disease,BrB,,Acropora cytherea,"Derawan Island, Indonesia",,,
Jordán-Garza and Jordán-Dahlgren 2011,NA,NA,NA,NA,NA,,Montastraea faveolata,"Yucatán, Mexico",,,
Pollock et al. 2013,Cymo melanodactylus,Arthropoda,Negatively related,White syndrome,White,,Acropora hyacinthus,"Lizard Island, Australia",,,
Katz et al. 2014,Acanthaster planci,Echinodermata,Positively related,Brown band disease,BrB,,Acropora hyacinthus,"Lizard Island, Australia",,,
Miller et al. 2014 (MEPS),Hermodice carunculata,Annelida,Positively related,"Unknown--""tissue loss associated with disease--described in Miller et al. 2014)",White,,Acropora cervicornis,Florida Keys,,,
Randall et al. 2016,NA,NA,NA,NA,NA,,Siderastrea siderea,Florida Keys,,,
Raymundo et al. 2016,Coralliophila violacea,Mollusca,Positively related,White syndrome-like,White,,Porites spp.,Guam,,,
Shaver et al. 2017,Coralliophila abbreviata,Mollusca,Positively related,Unknown (rapid tissue loss syndrome?),White,,Acropora cervicornis,Florida Keys,,,
Wright et al. 2017,NA,NA,NA,NA,NA,,Acropora millepora,Great Barrier Reef,,,
"Beurmann et al., 2017 (Diseases of Aquatic Organisms: Assessment of disease lesion removal as a method to control chronic Montipora white syndrome)",NA,NA,NA,NA,NA,,Montipora capitata,"Kane'ohe Bay, Hawai'i",,,
Williams 2013,NA,NA,NA,NA,NA,,Montipora efflorescens and Acropora acuminata,Palmyra Atoll,,,
Bettarel et al. 2018 (ISME),Drupella rugosa,Mollusca,Positively related,Microbiome shift,Microbiome,,Acropora formosa and Acropora millepora,Vietnam (Bay of Van Phong),,,
Antonius and Riegl 1997 (Atoll Research Bulletin),Drupella cornus,Mollusca,Positively related,Disease generally,General,,Acropora hemprichi,"Sharm el Sheikh region, Red Sea",,,
Grober-Dunsmore et al. 2006,Damselfishes (Stegastes spp. or Microspathodon chrysurus),Chordata,Positively related,Likely white pox,White,Say relationship with C. abbreviata was marginal so didn't include,Acropora palmata,"St. John, USVI",,,
Raymundo et al. 2009,Chaetodontidae,Chordata,Positively related,Disease generally,General,,All corals,Philippines and the GBR,,,
"Williams et al. 2010 (PLoS One, Modeling)",Chaetodontidae,Chordata,Negatively related,Porites tissue loss,White,,,,,,
"Williams et al. 2010 (PLoS One, Modeling)",Parrotfish,Chordata,Negatively related,Montipora white syndrome,White,,,,,,
"Williams et al. 2010 (PLoS One, Modeling)",Chaetodontidae,Chordata,Positively related,Trematodiasis,Trematodiasis,,,,,,
"Williams et al. 2010 (PLoS One, Modeling)",Parrotfish,Chordata,Negatively related,Growth anomalies,GA,,Porites and Montipora spp.,Hawai'i,,,
Onton et al. 2011,Drupella spp.,Mollusca,Positively related,Disease generally,General,,,,,,
Onton et al. 2011,Drupella spp.,Mollusca,Positively related,Skeletal eroding band,SEB,,,,,,
Onton et al. 2011,Drupella spp.,Mollusca,Positively related,Black-band disease,BBD,,,,,,
Onton et al. 2011,Drupella spp.,Mollusca,Positively related,Cyanobacterial bands (OtCy),Cyanobacterial,,All corals,"Ningaloo Reef, Australia",,,
McIlwain and Jones 1997,Labrichthys unilineatus,Chordata,Direct lesion feeding,Disease generally,General,,All corals,"Lizard Island, Australia",,,
Aeby 1991 (Pacific Science),Chaetodon multicinctus,Chordata,Negatively related; Direct lesion feeding,Trematodiasis,Trematodiasis,"Very, very similar to Aeby 1992, but with different numbers, which makes me think they are different? Maybe the experiment was repeated?",Porites compressa,"Kaneohe Bay, Oahu, Hawai'i",Chordata,Negatively related; Direct lesion feeding,Trematodiasis
Miller and Williams 2007,Hermodice carunculata,Annelida,Direct lesion feeding,"White disease', likely white plague",White,,All corals,"Navassa Island, Caribbean",,,
Cole et al. 2009,Chaetodon baronessa,Chordata,Direct lesion feeding,Black-band disease,BBD,,,,,,
Cole et al. 2009,Chaetodon aureofasciatus,Chordata,Direct lesion feeding,Black-band disease,BBD,,,,,,
Cole et al. 2009,Chaetodon plebius,Chordata,Direct lesion feeding; Negatively realted,Black-band disease,BBD,,,,,,
Cole et al. 2009,Chaetodon rainfordi,Chordata,Direct lesion feeding,Black-band disease,BBD,,,,,,
Cole et al. 2009,Chaetodon lunulatus,Chordata,Direct lesion feeding,Black-band disease,BBD,,,,,,
Cole et al. 2009,Labrichthys unilineatus,Chordata,Direct lesion feeding,Black-band disease,BBD,,Acropora muricata,"Lizard Island, Australia",,,
Chong-Seng et al. 2011,Labrichthys unilineatus,Chordata,Direct lesion feeding,Black-band disease,BBD,,,,,,
Chong-Seng et al. 2011,Chaetodon aureofasciatus,Chordata,Direct lesion feeding,Black-band disease,BBD,,,,,,
Chong-Seng et al. 2011,Chaetodon aureofasciatus,Chordata,Direct lesion feeding,Brown band disease,BrB,,,,,,
Chong-Seng et al. 2011,Chaetodon baronessa,Chordata,Direct lesion feeding,Black-band disease,BBD,,,,,,
Chong-Seng et al. 2011,Chaetodon baronessa,Chordata,Direct lesion feeding,Brown band disease,BrB,,,,,,
Chong-Seng et al. 2011,Chaetodon lunulatus,Chordata,Direct lesion feeding,Black-band disease,BBD,,,,,,
Chong-Seng et al. 2011,Chaetodon lunulatus,Chordata,Direct lesion feeding,Brown band disease,BrB,,,,,,
Chong-Seng et al. 2011,Chaetodon rainfordi,Chordata,Direct lesion feeding,Brown band disease,BrB,,,,,,
Chong-Seng et al. 2011,Chaetodon trifascialis,Chordata,Direct lesion feeding,Black-band disease,BBD,,,,,,
Chong-Seng et al. 2011,Cheiloprion labiatus,Chordata,Direct lesion feeding,Brown band disease,BrB,,,,,,
Chong-Seng et al. 2011,Chaetodon citrinellus,Chordata,Direct lesion feeding,Black-band disease,BBD,,,,,,
Chong-Seng et al. 2011,Chaetodon klenii,Chordata,Direct lesion feeding,Black-band disease,BBD,,,,,,
Chong-Seng et al. 2011,Neoglyphidodon melas,Chordata,Direct lesion feeding,Black-band disease,BBD,,,,,,
Chong-Seng et al. 2011,Dischistodus melanotus,Chordata,Direct lesion feeding,Black-band disease,BBD,"Termed ""non-corallivores""",,,,,
Chong-Seng et al. 2011,Pomacentrus amboinensis,Chordata,Direct lesion feeding,Black-band disease,BBD,"Termed ""non-corallivores""",,,,,
Chong-Seng et al. 2011,Pomacentrus chrysurus,Chordata,Direct lesion feeding,Black-band disease,BBD,"Termed ""non-corallivores""",,,,,
Chong-Seng et al. 2011,Pomacentrus moluccensis,Chordata,Direct lesion feeding,Brown band disease,BrB,"Termed ""non-corallivores""",,,,,
Chong-Seng et al. 2011,Pomacentrus wardi,Chordata,Direct lesion feeding,Black-band disease,BBD,"Termed ""non-corallivores""",,,,,
Chong-Seng et al. 2011,Pomacentrus wardi,Chordata,Direct lesion feeding,Brown band disease,BrB,"Termed ""non-corallivores""",,,,,
Chong-Seng et al. 2011,Stegastes apicalis,Chordata,Direct lesion feeding,Brown band disease,BrB,"Termed ""non-corallivores""",,,,,
Chong-Seng et al. 2011,Stegastes nigricans,Chordata,Direct lesion feeding,Brown band disease,BrB,"Termed ""non-corallivores""",,,,,
Chong-Seng et al. 2011,Gomphosus varius,Chordata,Direct lesion feeding,Brown band disease,BrB,"Termed ""non-corallivores""",,,,,
Chong-Seng et al. 2011,Parrotfish,Chordata,Direct lesion feeding,Brown band disease,BrB,"Termed ""non-corallivores""",Acropora spp.,"Lizard Island, Australia",,,
Pratchett et al. 2010,Cymo melanodactylus,Arthropoda,Positively related,Recent tissue loss--maybe a white syndrome?,White,"Not necessarily increasing disease here, but more crabs where there are more decaying corals",Acropora cytherea,Chagos archipelago,,,
Wolf and Nugues 2013 (Ecology),Hermodice carunculata,Annelida,Positively related,White plague,White,No effect of C. abbreviata ,"Montastraea faveolata; S. sidera in the field (negative relationship between fireworm abundance and tissue condition--not examined in the lab); surveyed: M. faveolata, Montastraea cavernosa, Siderastrea siderea, Colpophyllia natans, Diploria strigos",Curaçao,,,
Zaneveld et al. 2016,Parrotfish,Chordata,Positively related,Microbiome shift,Microbiome,,Porites (also looked at other corals but just Porites-parrotfish part they discuss in terms of predation-microbiome),Florida Keys,,,
van de Water et al. 2015 (Molecular Ecology),NA,NA,NA,NA,NA,,Acropora aspera,"Heron Island, GBR",,,
Soyoka and Nadaoka 2020,Drupella spp.,Mollusca,Positively related,White syndrome,White,,,,,,
Soyoka and Nadaoka 2020,Drupella spp.,Mollusca,Positively related,Growth anomolies,GA,,All corals,Southwestern Japan,,,
Maher et al. 2019,NA,NA,NA,NA,NA,,Pocillopora meandrina,"Mo'orea, French Polynesia",,,
Scott et al. 2017,NA,NA,NA,NA,NA,No effect of either corallivore,All corals,"Koh Tao, Thailand",,,
Ezzat et al. 2020,Chlorurus spilurus,Chordata,Positively related,Microbiome shift,Microbiome,,Porites lobata,"Mo'orea, French Polynesia",,,
Ezzat et al. 2019,Ctenochaetus striatus,NA,Positively related,Microbiome shift,Microbiome,Feaces increased bacterial opportunism when wounded,Porites lobata,"Mo'orea, French Polynesia",,,
Bright et al. 2015,NA,NA,NA,NA,NA,Not about corallivore effect on disease exactly,Acropora cervicornis,Florida,,,
Bright et al. 2016,Coralliophila abbreviata,Mollusca,Positively related,"White pox disease, white band disease",White,,Acropora palmata,USVI (St. John and St. Thomas),,,
Nagelkerken et al. 1997,Cyphoma gibbosum,Mollusca,Positively related,Aspergillosis,Aspergillosis,,Octocorals: Gorgonia ventalina and G. flabellum,"San Salvador, British VI, Key West, Jamaica, Puerto Rico, Saba, and Trinidad",,,
Slattery 1999,Thalassoma bifasciatum,Chordata,Direct lesion feeding,Aspergillosis,Aspergillosis,Didn't include Cyphoma gibbosum because they don't say explicitly that it was found on the disease margin,Gorgonia ventalina,Belize,,,
Slattery 1999,Chaetodontidae,Chordata,Direct lesion feeding,Aspergillosis,Aspergillosis,,,,,,
Slattery 1999,Cyphoma gibbosum,Mollusca,Positively related,Aspergillosis,Aspergillosis,More grazing scars on diseased sea fans (authors suggest it's because there are weakened defenses in the infected coral so easier to eat),,,,,
Slattery et al. 2013 (Coral Reefs),Chaetodontidae (NO SPECIFIC SPP OBSERVED),Chordata,Positively related,Sinularia Tissue Loss Disease,Sinularia TLD,"Feeding scars increased on diseased corals ( not that more predation = more disease, but that more disease = more predation, but still a positive relationship so included here). No specific species though! ","Sinularia soft corals (S. maxima, S. polydactyla, and a hybrid)",Guam,,,
Moreira et al. 2013 (Current Microbiology),Hermodice carunculata,Annelida,Positively related,Bleaching,Bleaching,Not included as a reservoir because none of the pathogens inside the worms were implicated in disease,Madracis decactis,"St. Peter and St. Paul Archipelago, Mid-Atlantic Ridge, Brazil",,,
Ross 2014 (Revista de Biologia Tropical),NA,NA,NA,NA,NA,No significant effect between disease and fireworms,Acropora cervicornis,"Montego Bay, Jamaica",,,
Shirur et al. 2016 (Mar Biol),NA,NA,NA,NA,NA,Wounding,Gorgonians: Eunicea flexuosa and Pseudoplexaura porosa,"Puerto Morelos, Mexico",,,
Ranith et al. 2017 (Marine Ecology),Parrotfish (scars),Chordata,Positively related,Black-band disease,BBD,,All corals,"Lakshadweep, Arabian Sea (200km from India)",,,
Vermeij et al. 2015 MEPS,Stegastes planifrons,Chordata,Positively related,General disease (lots of YBD),General,,Orbicella species complex,Bonaire,,,
Martin et al. 2018,Chaetodontidae,Chordata,Reservoir/vector,Trematodiasis,Trematodiasis,Described trematodes in parrotfish,"NA (or, well, would be Porites?)",French Polynesia and Hawaii,,,
Kellogg et al. 2017 (Bull Mar Scie),Acanthurus leucopareius,Chordata,Direct lesion feeding,Black-band disease,BBD,,Montipora patula,"Kauai, Hawai'i",,,
Casey et al. 2014,Stegastes nigricans,Chordata,Positively related,Black-band disease,BBD,,,,,,
Casey et al. 2014,Stegastes apicalis,Chordata,Positively related,Black-band disease,BBD,,Acropora muricata,"Lizard Island, Australia",,,
Willis et al. 2004,NA,NA,NA,NA,NA,No relationship observed,All corals,Great Barrier Reef,,,
,,,,,,,,,,,
PROTOCOL NOTES:,,,,,,,,,,,
Here just keep ones that had some relationship with disease/microbes!! Not everything that was tested. Also only include it if there was some observation of that species influencing disease,,,,,,,,,,,
Positively related,Either corallivore presence/behavior is positively correlated with disease (or microbiome disruption) or predation/presence of the corallivore resulted in disease,,,,,,,,,,
Reservoir/vector,Pathogens found inside a corallivore,,,,,,,,,,
Direct feeding,Corallivore observed to feed directly on the disease margin,,,,,,,,,,
Separate lines for each invert and each disease!!,,,,,,,,,,,
