Publication,Year,Exp_type
Sussman et al. 2003,2003,Both
Williams and Miller 2005,2005,Experimental
Dalton and Godwin 2006,2006,Experimental
Aeby and Santavy 2006,2006,Experimental
Gignoux-Wolfsohn et al. 2012,2012,Experimental
Aeby 1992,1992,Experimental
Aeby 1998,1998,Both
Aeby 2002,2002,Experimental
Vargas-Ángel et al. 2003,2003,Observational
Sutherland et al. 2011,2011,Experimental
Rypien and Baker 2009,2009,Experimental
Nicolet et al. 2013,2013,Both
Clemens and Brandt 2015,2015,Experimental
Pratte and Richardson 2016,2016,Both
Nicolet et al. 2018 (Sci Rep),2018,Experimental
Nicolet et al. 2018 (MEPS),2018,Experimental
Sutherland et al. 2010 (Env Microbio),2010,Observational
Page and Willis 2008,2008,Experimental
Nugues and Bak 2009,2009,Experimental
Jordán-Garza and Jordán-Dahlgren 2011,2011,Experimental
Pollock et al. 2013,2013,Experimental
Katz et al. 2014,2014,Experimental
Miller et al. 2014 (MEPS),2014,Both
Randall et al. 2016,2016,Experimental
Raymundo et al. 2016,2016,Both
Shaver et al. 2017,2017,Experimental
Wright et al. 2017,2017,Experimental
"Beurmann et al., 2017 (Diseases of Aquatic Organisms: Assessment of disease lesion removal as a method to control chronic Montipora white syndrome)",2017,Experimental
Williams 2013,2013,Experimental
Bettarel et al. 2018 (ISME),2018,Observational
Antonius and Riegl 1997 (Atoll Research Bulletin),1997,Observational
Grober-Dunsmore et al. 2006,2006,Observational
Raymundo et al. 2009,2009,Observational
"Williams et al. 2010 (PLoS One, Modeling)",2010,Observational
Onton et al. 2011,2011,Observational
McIlwain and Jones 1997,1997,Both
Aeby 1991 (Pacific Science),1991,Experimental
Miller and Williams 2007,2007,Observational
Cole et al. 2009,2009,Both
Chong-Seng et al. 2011,2011,Observational
Pratchett et al. 2010,2010,Observational
Wolf and Nugues 2013 (Ecology),2013,Both
Zaneveld et al. 2016,2016,Experimental
van de Water et al. 2015 (Molecular Ecology),2015,Experimental
Soyoka and Nadaoka 2020,2020,Observational
Maher et al. 2019,2019,Experimental
Scott et al. 2017,2017,Observational
Ezzat et al. 2020,2020,Both
Ezzat et al. 2019,2019,Experimental
Bright et al. 2015,2015,Experimental
Bright et al. 2016,2016,Observational
Nagelkerken et al. 1997,1997,Observational
Slattery 1999,1999,Both
Slattery et al. 2013 (Coral Reefs),2013,Experimental
Moreira et al. 2013 (Current Microbiology),2013,Observational
Ross 2014 (Revista de Biologia Tropical),2014,Experimental
Shirur et al. 2016 (Mar Biol),2016,Experimental
Ranith et al. 2017 (Marine Ecology),2017,Observational
Vermeij et al. 2015 MEPS,2015,Observational
Martin et al. 2018,2018,Observational
Kellogg et al. 2017 (Bull Mar Scie),2017,Observational
Casey et al. 2014,2014,Observational
Willis et al. 2004,2004,Observational
Antonius 1977,1977,Experimental
