Publication,Corallivore_Weffect,Corallivore_family,Corallivore_genus,Corallivore_phylum,Effect,Reservoir,Direct_lesion_feeding,Correlation,Manipulative,Disease_specific,Disease_general,Notes,Coral,Region,,,
Sussman et al. 2003,Hermodice carunculata,Amphinomidae,Hermodice,Annelida,Positive,Y,N,NA,Increased,Bleaching,Bleaching,"Experimentation = Increased means the experiment showed the corallivore INCREASING disease, whereas the correlation means the corallivore was just positively correlated to disease (could be attracted to it or could be causing it)--these two things are combined in the ""Effect"" column, which is why we went back and split them up",Oculina patagonica,"Mediterranean Sea, 50 km north of Tel Aviv",,,
Williams and Miller 2005,Coralliophila abbreviata,Muricidae,Coralliophila,Mollusca,Positive,N,N,NA,Increased,White pox/Acroporid serratiosis (APS)--probably,White,,Acropora cervicornis and Acropora palmata,"Key Largo, Florida",,,
Dalton and Godwin 2006,Phestilla sp.,Trinchesiidae,Phestilla,Mollusca,Positive,N,N,NA,Increased,Australian subtropical white syndrome (noted in Dalton et al. 2010),White,,Turbinaria mensenterina,Australia,,,
Aeby and Santavy 2006,Chaetodon capistratus ,Chaetodontidae,Chaetodon,Chordata,Positive,N,N,NA,Increased,Black-band disease,BBD,,Montastraea faveolata,Florida Keys,,,
Gignoux-Wolfsohn et al. 2012,Coralliophila abbreviata,Muricidae,Coralliophila,Mollusca,Positive,N,N,NA,Increased,White band disease,White,Coralliophila caribaea did not cause disease,Acropora cervicornis,"Cayo Corales, Bocas Del Toro, Panama",,,
Gignoux-Wolfsohn et al. 2012,Coralliophila caribea,Muricidae,Coralliophila,Mollusca,NA,N,N,NA,No effect,White band disease,White,,Acropora cervicornis,"Cayo Corales, Bocas Del Toro, Panama",,,
Antonius 1977,Hermodice carunculata,Amphinomidae,Hermodice,Annelida,Positive,N,N,NA,Increased,Shut down reaction,White,,"Acropora palmata, Acropora cervicornis, Montastrea annularis, Siderastrea siderea, Dichocoenia stokesi, Solenastrea hyades",Florida Keys,,,
Aeby 1992,Chaetodon multicinctus,Chaetodontidae,Chaetodon,Chordata,Negative,N,Y,NA,Decreased,Trematodiasis,Trematodiasis,"Maybe make a separate figure for organisms observed to have a preference for disease fronts? Also didn't include Chaetodon trifasciatus, C. auriga, and C. lunula because they weren't observed to feed on the front (were just in the area of caging/likely to have consumed trematodes); Given that the uncaged had fewer infected polyps it's probably all of the Chaetodon so good to group by family",Porites compressa,"Kaneohe Bay, Oahu, Hawai'i",,,
Aeby 1998,Chaetodon multicinctus,Chaetodontidae,Chaetodon,Chordata,NA,Y,Y,NA,NA,Trematodiasis,Trematodiasis,Didn't include that it increased disease because only found the trematodes inside (reservoir),Porites compressa,"Kaneohe Bay, Oahu, Hawai'i",,,
Aeby 2002,Chaetodon multicinctus,Chaetodontidae,Chaetodon,Chordata,NA,Y,N,NA,NA,Trematodiasis,Trematodiasis,Reservoir; didn't really look at effect of butterflyfish on coral disease--more on how butterflyfish can harbor the trematode,Porites compressa,"Kaneohe Bay, Oahu, Hawai'i",,,
